APPID,FellowStatedDate
e17d32e5-c579-4854-914e-a4ed00f0bb58,7/1/16
13eeb8d5-0d68-4459-8304-a4ef00f18af9,7/29/16
120e9ccc-ead7-4bde-8d85-a4ef016460ba,7/26/16
bfd0ca3b-bdec-4477-95f9-a4f000ffa86b,6/20/16
1e4f4489-dcc4-450d-b9ce-a4f10187c637,8/12/16
2aa8e52c-8ffb-4a55-936c-a4f200973cf3,8/30/16
4c5d7118-97b9-46dd-894b-a4f200ce0a30,7/21/16
96c8d5a8-a3e0-4eb4-a13b-a4f2016c8647,7/21/16
b5aac1f4-3090-419a-abf7-a4f300a813a7,7/4/16
59a041ef-340e-482a-838d-a4f40069a622,8/18/16
4ca59e0d-cf0a-4a11-bbd4-a4f400892d9b,8/2/16
0c1a2908-a803-4adf-b7fb-a4f7000beead,7/25/16
0ea47dd1-85e5-4bd5-89ad-a4f700c67450,7/19/16
574724c7-03a6-4bfe-a602-a4f9014b4697,8/8/16
f3c268be-562f-4ab8-bb6e-a4fa00f559a0,7/12/16
255215ec-a682-4eb0-bc79-a4fb00d612ca,8/1/16
c77f8b87-29f4-49c6-ba24-a4fb00dac7c9,8/10/16
436d0320-efd0-4117-bd66-a4fd018353f7,6/16/16
3f3c2044-dada-4499-be86-a50000bbe7c1,8/25/16
c322b74f-526b-4483-92ad-a50000dc0bef,8/25/16
2352c793-98c5-4efb-b84f-a50000e4189c,8/9/16
3cb701d1-e699-40d5-aec3-a5000111d6cd,8/15/16
351d7a4b-f399-418d-8afc-a500015a7fe3,8/10/16
c9aa33d0-86b1-4d54-8512-a50301110550,8/8/16
007c3609-6f66-4a0f-9bad-a504014f1387,7/18/16
c47c18b4-f32a-44da-aeb9-a50500b14bd8,8/8/16
5752b028-2521-4426-8c9d-a50501561605,8/19/16
c7bfa996-14b2-4709-a66b-a50600cbf30d,7/21/16
3e157e36-7dce-499b-9a26-a50600f30a13,8/30/16
3e157e36-7dce-499b-9a26-a50600f30a13,7/11/16
660e5210-bb07-412e-8a05-a50600fda0be,8/9/16
1b6f8faa-063c-469c-a13b-a507001083f9,7/15/16
83674668-605f-447f-8d5a-a50700ce3dff,7/14/16
ceb60056-2572-4fdd-8246-a5070102072a,8/11/16
a9e52259-3c02-468a-b02d-a50800b128d8,7/1/16
a9e52259-3c02-468a-b02d-a50800b128d8,7/1/16
9a26ba46-fa13-4df4-9be5-a50900ae2745,8/10/16
8bb485bc-bdc5-433b-90ca-a50a016f4866,8/11/16
071a7d3f-3a4b-49cd-a0d1-a50d00cd5f81,6/15/16
7dfba152-08f4-4d61-861a-a50d00ce3bb5,7/18/16
431ce0d0-378c-4fc3-b061-a50d011753cf,6/20/16
b0106a30-6f36-4f99-ab3b-a50d011ba526,7/21/16
7248e3ce-27d3-402e-8c13-a50d0133e6fa,8/9/16
70fd4f27-ce4b-4fce-98d7-a50e00091dab,7/18/16
aab2cc48-6f4a-4e0a-a3b4-a50e00677c44,6/3/16
1311132c-b344-4514-9f80-a50e008b3705,8/12/16
eaa25681-a951-4b70-90fa-a50e00fc7eb7,8/5/16
5771ace7-133f-406d-8dc8-a50e01041034,6/20/16
14643f90-d6c8-4e2e-9580-a50e0111ad41,7/27/16
5c00ff7c-98da-4173-988f-a50e0157e955,8/10/16
a20b2215-2eb6-4853-abcd-a50f00c0b9b9,6/17/16
675e4f61-c381-436a-9202-a50f01057c89,8/19/16
8c2c9a5f-13c5-4f30-8ba4-a50f01365344,8/30/16
da99826e-0f70-4f6a-b6a7-a50f013b2fd2,6/13/16
13d34a60-8e59-45be-831a-a511004f4329,8/1/16
284e65bf-2d40-4ea4-a473-a51100bc7a67,8/5/16
86c3d0a5-d42c-4d09-93d4-a51100dd6752,7/25/16
35677dbd-e942-4c26-9769-a51101117ccd,6/22/16
77e1fac2-e5ba-45d2-8db8-a512005de5d7,8/23/16
4a655865-5ac2-4b8d-b9cc-a5120111ebd3,8/10/16
48cd3c19-7fd9-4b8b-846b-a5120165a871,8/11/16
7eca4dc4-89dd-4687-92bc-a51300033c6a,7/1/16
708dc57f-5909-4ee9-98e9-a513015a8851,7/25/16
5d7123c7-a7a5-4668-a98e-a51400d95298,8/10/16
9fc616f7-ae15-4df6-866b-a51400ddd0ce,8/9/16
ca76aef6-b28a-4efd-afc0-a51400f5e341,8/11/16
eee8c389-7f4d-48be-9f02-a514012b1df9,8/5/16
