TT2ID,c27id,uni,FC_ID,Cohort,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom4a,oct_rel_effect
17b59484-1ab3-4ed6-87ba-a5c401696690,50935,St. John's University,1951,Cohort 27,32K556,10,CTT/ICT,Special Education,26-Sep-16,Developing,Developing+,Effective,Effective,Effective,Effective,Developing,Effective,Effective,Effective,Average
17b661d5-33d7-4a7a-b1f6-a0da010f9219,50026,Pace University,907,Cohort 27,Q752,10,D75,D75,26-Oct-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing,Developing+,Developing+,Developing+,Above Average
17c61e9d-fe17-479e-bfcd-a58700c29904,50790,St. John's University,1807,Cohort 27,Q296,12,N/A,Math,20-Sep-16,Developing+,Developing+,Developing+,Effective,Developing+,Effective+,Developing+,Developing+,Developing,Effective+,Below Average
1867d722-d233-43c2-b5b9-a55400c72e15,51109,Brooklyn College,166,,,9,CTT/ICT,,15-Sep-16,Developing,Developing,Developing,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Effective,Average
18698681-166c-408e-9548-a5890163e20c,50792,City College,1835,Cohort 27,X243,12,,ESL,7-Oct-16,Developing,Developing,Developing,Developing,Developing+,Effective+,Developing,Developing,Developing,Developing+,Average
188db779-44cd-431e-9404-a5230182edd9,50570,Lehman College,2002,Cohort 27,11X326,6,N/A,ESL,30-Sep-16,Effective,Developing+,Developing+,Effective,Effective,Effective,Developing+,Effective,Developing+,Developing+,Average
18d6c3a3-cb14-4381-af8d-a42f00e86b2a,50311,Hunter SPED,2036,Cohort 27,05M514,8,CTT/ICT,Special Education,21-Oct-16,Developing+,Developing+,Developing+,Developing+,Developing+,Effective,Effective,Developing+,,Developing,Average
18e8c641-122b-44a5-b883-a55301237a65,50590,Pace University,219,Cohort 27,K349,7,,Science,28-Sep-16,Developing+,Developing+,Developing+,Developing,Developing,Developing,Developing,Developing,Developing+,Developing,Below Average
19237389-3bc3-4dee-8cfc-a53700cf4bcf,50674,St. John's University,1951,Cohort 27,18k589,10,N/A,Math,21-Sep-16,Developing,Developing,Developing,Developing+,Developing+,Developing,Developing,Developing,Developing,Effective,Average
19399945-1f4a-4e5d-9922-a5370143c840,50708,Long Island University,1944,Cohort 27,21K410,9,Self-contained,Special Education,17-Oct-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing,Developing+,Developing,Developing+,Average
1951659b-6868-4833-b176-a5240100d92a,50364,Long Island University,1707,Cohort 27,M615,10,CTT/ICT,Special Education,21-Oct-16,Effective,Developing+,Developing+,Effective,Effective,Effective,Developing,Developing,Developing,Effective,Average
195e11d7-3a8c-4562-acf5-a562012c4b0a,50666,Pace University,1853,Cohort 27,K753,10,D75,D75,18-Oct-16,Effective,Effective,Effective,Developing+,Effective,Effective,Effective,Effective,Effective,Effective,Average
1961e997-f0e1-4542-b095-a4f600ccc464,50521,Lehman College,2002,Cohort 27,10X080,6,N/A,ESL,23-Sep-16,Developing,Developing,Developing,Effective,Effective,Effective,Developing,Developing,Developing,Developing,Average
197b99b5-8009-4cb7-ad69-a587011aa26a,51103,St. John's University,1952,Cohort 27,k670,10,,Math,29-Sep-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing+,Effective,Average
198253d6-b53d-460b-bc93-a5a700a54bf8,50859,City College,1841,Cohort 27,M311,3,,Bilingual,5-Oct-16,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Developing+,Ineffective,Developing+,Above Average
198b5799-32a5-4a44-af05-a5af0142235e,50916,St. John's University,1776,Cohort 27,Q240,10,N/A,Math,14-Oct-16,Developing+,Developing,Developing,Developing+,Developing,Developing,Developing,Developing,Developing,Developing,Average
199346d3-fabe-43f0-a708-a49c0107fff7,50333,Long Island University,1901,Cohort 27,k405,9,CTT/ICT,Special Education,13-Oct-16,,,,,,,,,,,Average
19eba3fa-7f9c-4506-80e9-a58f00fb6955,51173,Pace University,2066,Cohort 27,27Q210,7,N/A,Science,11-Oct-16,Developing+,Developing,Developing,Developing,Developing+,Developing,Developing,Developing,Developing,Developing+,Above Average
19fcf85d-9208-4951-aa4d-a2750101e59f,50105,Hunter SPED,1977,Cohort 27,x131,7,CTT/ICT,Special Education,17-Oct-16,Developing,Developing,Ineffective,Developing+,Ineffective,Developing,Developing,Ineffective,Developing,Effective,Average
1a111cdf-329a-412b-9e8f-a530011817cd,50527,Long Island University,1708,Cohort 27,Q072,7,Self-contained,Special Education,7-Oct-16,Developing+,Developing,Developing,Developing,Developing+,Developing,Developing+,Developing+,Developing+,Developing+,Below Average
1b64c018-7404-408a-99e7-a2b100ed96fb,50074,St. John's University,1781,Cohort 27,Q157,7,N/A,Special Education,23-Sep-16,Effective,Developing+,Developing+,Developing,Developing,Developing,Developing+,Developing,Developing,Developing,Average
1b6f8faa-063c-469c-a13b-a507001083f9,50448,City College,1803,Cohort 27,X199,1,,Bilingual,26-Sep-16,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Below Average
1c33d9e3-b69c-45b5-a3d7-a5140145baf7,50396,St. John's University,1717,Cohort 27,30Q141,8,CTT/ICT,Math,27-Oct-16,Developing+,Developing,Developing,Effective,Developing+,Developing+,Developing+,Developing,Developing,Developing,Above Average
1d111e34-5f66-4145-b2ee-a58d01015796,51171,Pace University,1921,Cohort 27,K231,6,D75,D75,27-Sep-16,Developing,Developing,Developing+,Developing+,Developing+,Developing,Ineffective,Developing,Developing+,Developing,Average
