TT2ID,C27id
15c69011-8041-40dc-a8f1-a40e00cb5a44,50203
843fc32e-43a5-4678-8c62-a41500cd8847,50204
a9ce7f17-1d66-4c56-af2b-a415010a499f,50205
8b698283-dead-4691-92ea-a41a014dd2f5,50206
f06a19ef-93c7-45a4-93fa-a41d0179d0c0,50207
41998ba4-7d1e-437e-8282-a42001267c7c,50208
3320dccc-2f41-4736-b86a-a4210093e40c,50209
93a3ffa8-ec5d-4141-8ec8-a44100a5559a,50210
737de9bb-9872-4240-adcb-a444011d6249,50211
c6d297a6-f30c-4e2b-aef7-a44a00db2c4e,50212
436535e0-19fa-48f5-84ad-a44b0163ab13,50213
f354e6db-fa83-4225-ac3f-a45000b9810e,50214
c240c904-3d42-46df-beb6-a46d0092eb3c,50215
e7d80a6c-2a20-49da-ad22-a44e0158334d,50216
a8471ca0-2181-4322-8aa9-a46b00a359f0,50217
2c3915f0-b60d-495b-8bb3-a475010ffb1c,50218
7ba2263c-de7a-4c85-bd94-a4870163e7cf,50219
0fb88564-2570-4394-8058-a48e00ba88d5,50220
7184b80c-0da0-498c-b2f8-a4910052de14,50221
932ddb0d-1b9d-43b6-8bd8-a49d015c14eb,50222
68c822c5-eba2-4f0f-94ee-a49e012f6e1d,50223
36553a90-d3a5-4a0e-8371-a3950142434b,50224
e8e63a13-f1c6-4901-82a3-a3b8012cdfa8,50225
31895544-bb7f-4587-947b-a3cc00da92bb,50226
646179bf-50c0-4372-90cf-a3e600a1e87a,50227
69b276a2-b98e-45e9-8380-a3ee01287f86,50228
3e78ef3d-2bbf-485c-bd37-a4040004490f,50229
3e02a925-7ae5-46fd-92f2-a4170134100a,50230
27254c1a-2386-4de0-bb50-a41e0116314e,50231
7acea810-2566-4fb3-80d8-a448016cb4b9,50232
5479cd64-8207-4573-bb0d-a4520167fbc1,50233
232ab4d0-d836-45c4-bd88-a4570140b4ab,50234
d6c19ac0-598f-4d05-aa20-a48200d36d1a,50235
5f14c701-69bb-4adf-b573-a48e00aeebfd,50236
9534d261-b6f4-4dd6-84e7-a49500d7e926,50237
8b49e394-c6ce-49c4-b376-a4980158a236,50238
7c57d2ec-c10e-48c0-adbb-a49c014206d4,50239
878850fd-db2e-4009-a3ac-a4ad00d3ee63,50240
5b0779fd-e279-478d-971b-a41a01659df3,50241
39118769-20e7-4f3b-9806-a41c00fd96aa,50242
c5c37a93-4d18-46fd-8433-a420000026f1,50243
45e9ee0d-2911-4b0b-9a50-a420014dc394,50244
075e2fea-904e-46a1-be0c-a42200a7af04,50245
acd723d2-f694-477d-b8db-a425018033a7,50246
df277340-049c-4e57-9726-a42900255d37,50247
a1524fc8-3bc8-422a-9e41-a43b018a852f,50248
68da7e7a-4434-4bc6-8e45-a42400b74570,50249
0109b3fc-d62a-42d0-a9f9-a425011b7c78,50250
28756218-537b-48c4-9e4d-a4380147c4d3,50251
83824408-dc61-43fe-b290-a43c0139055c,50252
4939b2c2-1ec8-4afc-8349-a4420105a62b,50253
1407ab8f-e2ae-488a-ac50-a4450135d0ea,50254
4e254fc8-c1d1-4ffc-8906-a446009df3b3,50255
bc195a06-cbfc-4827-babb-a45601663bed,50256
85bc2cd6-b2b6-4de1-b313-a4250186b665,50257
f165dfff-877d-43e5-b1d4-a43201317bb0,50258
10755dbf-1031-4b3c-8f29-a433013ed5aa,50259
99c36406-74bd-485a-8e30-a43e0148dcac,50260
14572c58-f543-4c82-afb9-a44000cf4853,50261
4ee22078-07c7-4567-bb43-a44300e984d8,50262
f86a5a5b-6a47-4212-a10b-a45700aabf3c,50263
7cdc42af-ebbf-494b-92f8-a46b00aeaaf9,50264
ff6e3953-a0e7-46b3-8a14-a478008ab5c0,50265
c8611e9e-809a-4c5a-816e-a47a00086c8e,50266
4830fe53-83b1-410a-b87c-a48f00d73bfd,50267
a4896b9d-4d18-49c3-a993-a49600dba61c,50268
a74286d3-105a-4e2c-8129-a4a00133f217,50269
6d94805d-96d2-406f-a065-a4ab0162f72e,50270
52845178-d624-4978-ad00-a4ac00437125,50271
c0536c93-68c1-41af-9e6a-a4ad00034101,50272
ba23d1c4-5caf-4e64-a8f0-a4bc00aff538,50273
3daef245-0213-44c6-8b48-a4a7009d42ac,50274
75db6dd4-2abb-4627-990c-a4c000f1257e,50275
9f1cdbf2-fdc0-4e36-8fc7-a4c001421435,50276
fd110594-2b4d-4b83-8465-a4c400a1c360,50277
4ccd35bc-148e-4f55-bc57-a4c500047d07,50278
f3c671b2-f3a1-4649-a628-a4c501794b46,50279
d583b2ca-209c-40df-9f52-a4c800c78d20,50280
42110140-86c9-46dd-b572-a4d0008a22a8,50281
562a7883-5a9b-4156-b529-a4d601650514,50282
cca8d6fb-3b33-4dbf-8e42-a4b1016b0bd4,50283
49465c52-d7d5-4c91-88b6-a4d400ca8f46,50284
dddbcc0b-30ff-4c78-92fd-a4d500ab215b,50285
b811ff85-0ee4-495a-9a47-a4e101544446,50286
4ca59e0d-cf0a-4a11-bbd4-a4f400892d9b,50287
2cf092ca-5bf1-4757-919e-a4ff009a1264,50288
eaa25681-a951-4b70-90fa-a50e00fc7eb7,50289
a20b2215-2eb6-4853-abcd-a50f00c0b9b9,50290
456099a2-1a0a-45bc-aca1-a51500a6d119,50291
ca153e2d-e064-437b-93fe-a43c008c92e2,50292
177e5790-e2ad-49f4-aeb2-a43d016b1c60,50293
46a6cac3-6231-449d-b3c3-a446008c5078,50294
4509d2ac-bde6-49fc-918c-a45200a12eb8,50295
d16d5b88-bf0d-42a8-b7d2-a459014f4b54,50296
00bf00ef-7045-4f2a-8d7c-a45e00b72076,50297
b6c493f6-b49f-453a-a4c6-a4720165d899,50298
b6696829-251e-4dfa-ae6b-a47b0136452a,50299
50a569d5-8064-46f6-8ace-a48700b5279b,50300
d6167477-62ba-4f3b-bdc1-a459011cfee3,50301
d6979e3e-99d2-46b1-83ea-a45f014c8677,50302
4703eaed-c14f-4715-93b1-a460018ac62d,50303
e3143c5e-771a-423b-adf4-a46101305fa2,50304
1eb263fa-a03a-4e7b-ae06-a468010ab208,50305
33325ed8-a798-40ea-b4ff-a46901413003,50306
5212e3c8-49ff-48fb-9c2d-a47a00cceb95,50307
6a8b7b2b-3d31-45f4-af6e-a4810043f1fb,50308
